fragment18:140-223(+),NM_005197.4,50.000,20,10,0,4,63,1362,1303,0.029,34.5,60.00,1,-3
fragment18:258-458(-),NM_010361.2,32.609,46,31,0,32,169,323,460,0.022,36.3,54.35,2,2
fragment18:258-458(-),NM_201531.5,35.849,53,34,0,32,190,280,438,0.041,35.4,47.17,2,1
fragment18:450-584(+),NM_005400.3,80.000,10,2,0,38,9,1792,1763,0.026,28.1,100.00,-2,-1
fragment18:450-584(+),NM_005400.3,60.000,15,6,0,121,77,2041,1997,0.026,23.5,60.00,-3,-1
fragment18:490-678(+),NM_175900.4,46.875,32,17,0,130,35,401,496,0.010,37.3,56.25,-2,2
fragment18:490-678(+),NM_205846.3,32.000,50,34,0,181,32,162,13,0.019,36.3,46.00,-2,-3
fragment18:490-678(+),NM_001004342.5,39.394,33,20,0,39,137,226,324,0.049,35.0,54.55,3,1
fragment18:498-626(-),NM_175900.4,46.875,32,17,0,5,100,401,496,0.004,37.3,56.25,2,2
fragment18:498-626(-),NM_001004342.5,41.935,31,18,0,96,4,226,318,0.035,34.2,54.84,-1,1
fragment18:498-626(-),NM_013900.2,54.167,24,11,0,78,7,834,905,0.047,33.8,62.50,-1,3
fragment18:544-642(-),NM_013900.2,54.167,24,11,0,94,23,834,905,0.048,33.8,62.50,-2,3
fragment18:2338-2463(-),NM_152419.3,56.000,25,11,0,29,103,3673,3747,0.021,35.0,64.00,2,1
fragment18:3131-3370(-),NM_008483.4,48.276,29,15,0,96,182,2281,2195,0.046,32.2,58.62,3,-1
fragment18:3131-3370(-),NM_008483.4,44.444,27,15,0,13,93,3449,3369,0.046,22.6,59.26,1,-3
fragment18:3900-4673(+),NM_013683.2,36.207,58,37,0,120,293,1801,1974,1.67e-12,54.7,62.07,3,1
fragment18:3900-4673(+),NM_013683.2,30.303,66,46,0,459,656,2173,2370,1.67e-12,40.5,57.58,3,1
fragment18:3900-4673(+),NM_029961.2,39.216,51,31,0,129,281,1294,1446,2.97e-12,50.1,58.82,3,1
fragment18:3900-4673(+),NM_029961.2,33.929,56,37,0,462,629,1657,1824,2.97e-12,44.6,62.50,3,1
fragment18:3900-4673(+),NM_012089.3,35.000,60,39,0,105,284,1556,1735,4.03e-12,55.1,58.33,3,2
fragment18:3900-4673(+),NM_012089.3,33.962,53,35,0,471,629,1961,2119,4.03e-12,39.1,58.49,3,2
fragment18:3900-4673(+),NM_147220.2,36.508,63,40,0,120,308,1739,1927,1.62e-11,59.7,60.32,3,2
fragment18:3900-4673(+),NM_147220.2,24.286,70,53,0,387,596,2027,2236,1.62e-11,33.1,51.43,3,2
fragment18:3900-4673(+),NM_000593.6,40.000,50,30,0,129,278,1626,1775,1.82e-11,52.8,62.00,3,3
fragment18:3900-4673(+),NM_000593.6,29.032,62,44,0,462,647,1992,2177,1.82e-11,38.6,59.68,3,3
fragment18:3900-4673(+),NM_001348946.2,35.000,60,39,0,105,284,3266,3445,1.85e-11,54.7,60.00,3,2
fragment18:3900-4673(+),NM_001348946.2,30.357,56,39,0,462,629,3659,3826,1.85e-11,37.7,55.36,3,2
fragment18:3900-4673(+),NM_001348946.2,35.714,56,36,0,462,629,1724,1891,0.001,44.1,62.50,3,2
fragment18:3900-4673(+),NM_023732.3,33.333,78,52,0,51,284,2009,2242,3.81e-11,54.2,53.85,3,2
fragment18:3900-4673(+),NM_023732.3,33.929,56,37,0,462,629,2450,2617,3.81e-11,36.3,53.57,3,2
fragment18:3900-4673(+),NM_011530.3,36.364,55,35,0,129,293,1603,1767,4.28e-11,52.4,60.00,3,1
fragment18:3900-4673(+),NM_011530.3,40.476,42,25,0,462,587,1966,2091,4.28e-11,37.7,64.29,3,1
fragment18:3900-4673(+),NM_005689.4,32.051,78,53,0,51,284,2020,2253,1.75e-10,53.3,53.85,3,1
fragment18:3900-4673(+),NM_005689.4,32.143,56,38,0,462,629,2461,2628,1.75e-10,35.0,53.57,3,1
